timestring,pH,Temperature,PAR,LightOut,Actuators
date,,°C,µmol/m²/s,%,
26.04.2024 14:53:56.164,7.49,23.0,526,50,15
26.04.2024 14:54:39.290,7.50,23.0,538,50,15
26.04.2024 14:54:47.428,7.50,23.0,552,50,15
26.04.2024 14:54:53.428,7.51,23.1,567,50,15
26.04.2024 14:54:57.243,7.50,23.0,585,50,15
26.04.2024 14:54:59.595,7.51,23.1,606,50,15
26.04.2024 14:55:01.713,7.51,23.1,636,50,15
26.04.2024 14:55:03.177,7.51,23.1,668,50,15
26.04.2024 14:55:04.976,7.50,23.0,678,50,15
26.04.2024 14:55:11.328,7.51,23.1,655,50,15
26.04.2024 14:55:17.861,7.51,23.1,679,50,15
26.04.2024 14:55:22.928,7.50,23.0,706,50,15
26.04.2024 14:55:24.543,7.50,23.0,733,50,15
26.04.2024 14:55:27.642,7.50,23.0,759,50,15
26.04.2024 14:55:29.109,7.51,23.1,788,50,15
26.04.2024 14:55:31.259,7.51,23.1,808,50,15
26.04.2024 14:55:36.900,7.50,23.0,785,50,15
26.04.2024 14:55:42.193,7.50,23.1,817,50,15
26.04.2024 14:55:43.776,7.49,23.0,849,50,15
26.04.2024 14:55:45.359,7.49,23.1,871,50,15
26.04.2024 14:55:48.608,7.50,23.1,903,50,15
26.04.2024 14:55:50.260,7.49,23.1,954,50,15
26.04.2024 14:55:51.243,7.48,23.1,1045,50,15
26.04.2024 14:55:52.426,7.49,23.1,1132,50,15
26.04.2024 14:55:53.608,7.49,23.1,1164,50,15
26.04.2024 14:55:55.391,7.48,23.1,1121,50,15
26.04.2024 14:55:58.424,7.48,23.1,1158,50,15
26.04.2024 14:55:59.759,7.48,23.1,1194,50,15
26.04.2024 14:56:01.875,7.48,23.1,1141,50,15
26.04.2024 14:56:04.924,7.47,23.1,1153,50,15
26.04.2024 14:56:06.242,7.47,23.1,1067,50,15
26.04.2024 14:56:07.394,7.47,23.1,998,50,15
26.04.2024 14:56:08.724,7.47,23.1,951,50,15
26.04.2024 14:56:10.900,7.46,23.1,898,50,15
26.04.2024 14:56:11.341,7.46,23.0,848,50,15
26.04.2024 14:56:12.575,7.46,23.1,802,50,15
26.04.2024 14:56:14.257,7.45,23.1,775,50,15
26.04.2024 14:56:15.674,7.45,23.1,741,50,15
26.04.2024 14:56:20.808,7.45,23.1,783,50,15
26.04.2024 14:56:22.257,7.44,23.1,807,50,15
26.04.2024 14:56:24.400,7.45,23.1,769,50,15
26.04.2024 14:56:26.194,7.43,23.1,828,50,15
26.04.2024 14:56:27.440,7.43,23.1,867,50,15
26.04.2024 14:56:29.490,7.42,23.1,883,50,15
26.04.2024 14:56:30.940,7.42,23.0,801,50,15
26.04.2024 14:56:32.390,7.43,23.1,728,50,15
26.04.2024 14:56:33.357,7.42,23.1,696,50,15
26.04.2024 14:56:38.700,7.41,23.1,738,50,15
26.04.2024 14:56:39.290,7.40,23.1,799,50,15
26.04.2024 14:56:40.507,7.40,23.1,849,50,15
26.04.2024 14:56:41.874,7.40,23.1,866,50,7
26.04.2024 14:56:43.957,7.40,23.1,834,50,7
26.04.2024 14:56:46.806,7.40,23.1,871,50,7
26.04.2024 14:56:50.556,7.40,23.1,814,50,7
26.04.2024 14:56:51.757,7.38,23.1,763,50,7
26.04.2024 14:56:54.440,7.39,23.1,819,50,7
